book_id,book_title,author_name
23745132,Wreckage,Emily Bleeker
239186,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",Erik Larson
56495,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren
20829994,Percy Jackson's Greek Gods,"John Rocco, Rick Riordan"
15793231,If You Find Me,Emily Murdoch
18386,The Death of Ivan Ilych,"Leo Tolstoy, Aylmer Maude"
103342,Stolen Lives: Twenty Years in a Desert Jail,"Malika Oufkir, Michele Fitoussi"
220968,"One Shot (Jack Reacher, #9)",Lee Child
50833,Valley of the Dolls,Jacqueline Susann
22020052,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole
12160906,"The Sins of the Father (The Clifton Chronicles, #2)",Jeffrey Archer
33280872,Without Merit,Colleen Hoover
34897,"The Dragon Reborn (Wheel of Time, #3)",Robert Jordan
16134551,"Fallen Crest High (Fallen Crest High, #1)",Tijan
30839185,"Vicious (Sinners of Saint, #1)",L.J. Shen
249,Tropic of Cancer,Henry Miller
33128934,"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine
31140489,And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman
27239265,"The Short Drop (Gibson Vaughn, #1)",Matthew FitzSimmons
6604887,أنت لي,mn~ lmrshwd
41913,The Children of Men,P.D. James
9086994,Aleph,Paulo Coelho
16729,Beach Music,Pat Conroy
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver
23481669,Maude,Donna Mabry
10911,Second Glance,Jodi Picoult
19469,"The Face on the Milk Carton (Janie Johnson, #1)",Caroline B. Cooney
412732,The Dharma Bums,Jack Kerouac
11346,Sula,Toni Morrison
19355355,Take Me with You,Catherine Ryan Hyde
6691426,"Angelology (Angelology, #1)",Danielle Trussoni
73062,Scarlett,Alexandra Ripley
248470,"River Secrets (The Books of Bayern, #3)",Shannon Hale
47624,"Lirael (Abhorsen, #2)",Garth Nix
296662,Lies My Teacher Told Me,James W. Loewen
31138556,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
44659,"Pawn of Prophecy (The Belgariad, #1)",David Eddings
25354,Bastard Out of Carolina,Dorothy Allison
657371,Tweak: Growing Up On Methamphetamines,Nic Sheff
178788,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health","Thomas M. Campbell II, T. Colin Campbell"
2728347,The Wednesday Sisters,Meg Waite Clayton
2666,The Bonfire of the Vanities,Tom Wolfe
4732276,The Book Whisperer: Awakening the Inner Reader in Every Child,Donalyn Miller
383514,"Her Royal Spyness (Her Royal Spyness Mysteries, #1)",Rhys Bowen
262545,The Whistling Season,Ivan Doig
6570502,Switch: How to Change Things When Change Is Hard,"Dan Heath, Chip Heath"
28940,Behind the Scenes at the Museum,Kate Atkinson
53645,Tender at the Bone: Growing Up at the Table,Ruth Reichl
10305247,"The Blackhouse (Lewis Trilogy, #1)",Peter  May
12951824,"The Perfect Hope (Inn Boonsboro, #3)",Nora Roberts
6407514,"Forest Born (The Books of Bayern, #4)",Shannon Hale
13067,Flush,Carl Hiaasen
4909,"Teacher Man (Frank McCourt, #3)",Frank McCourt
17934416,Keep Quiet,Lisa Scottoline
187812,Avalon High,Meg Cabot
12611073,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn
24228353,Trail of Broken Wings,Sejal Badani
7268995,A Sick Day for Amos McGee,"Erin E. Stead, Philip C. Stead"
114345,"The Little House Collection (Little House, #1-9)","Garth Williams, Laura Ingalls Wilder"
69242,Made to Stick: Why Some Ideas Survive and Others Die,"Dan Heath, Chip Heath"
2211221,"Nothing to Lose (Jack Reacher, #12)",Lee Child
92364,Eye of the Needle,Ken Follett
280410,The Nine: Inside the Secret World of the Supreme Court,Jeffrey Toobin
6340016,Lit,Mary Karr
24488476,"The Fate of Ten (Lorien Legacies, #6)",Pittacus Lore
95887,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy
128940,The Persian Pickle Club,Sandra Dallas
6080822,The Castaways,Elin Hilderbrand
11942639,The Wedding Dress,Rachel Hauck
52872,Flight,Sherman Alexie
12499,Belly Laughs: The Naked Truth About Pregnancy and Childbirth,Jenny McCarthy
25813921,"Grit: Passion, Perseverance, and the Science of Success",Angela Duckworth
55030,Cosmos,Carl Sagan
3692091,1/4 جرام,Essam Youssef
18241166,"Cage (Corps Security, #2)",Harper Sloan
3870943,The Apothecary's Daughter,Julie Klassen
1373381,The Ship of Brides,Jojo Moyes
91475,"White Night (The Dresden Files, #9)",Jim Butcher
40493,"The Valley of Horses (Earth's Children, #2)",Jean M. Auel
1210754,"Sun and Moon, Ice and Snow",Jessica Day George
10574,The Colorado Kid (Hard Case Crime #13),Stephen King
1999475,A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller
3276072,Scat,Carl Hiaasen
543873,Mister Pip,Lloyd Jones
74812,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
24473763,"Radiance (Wraith Kings, #1)",Grace Draven
22381892,Killing Patton: The Strange Death of World War II's Most Audacious General,"Martin Dugard, Bill O'Reilly"
736376,Breakfast with Buddha,Roland Merullo
210329,"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper
609870,The Vow,"Kim Carpenter, Krickitt Carpenter, John R. Perry"
12969140,Persona normal,Benito Taibo
734743,Captivating: Unveiling the Mystery of a Woman's Soul,"John Eldredge, Stasi Eldredge"
300650,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,Gary Ezzo
22616635,"Puddle Jumping (Puddle Jumping, #1)",Amber L.  Johnson
28802599,The Light of the Fireflies,"Paul Pen, Simon Bruni"
27152124,"Dirty English (English, #1)",Ilsa Madden-Mills
10625,Dolores Claiborne,"Dominique Dill, Stephen King"
29638166,From Sand and Ash,Amy Harmon
2501458,ذاكرة الجسد,"'Hlm mstGnmy, Ahlam Mosteghanemi"
22447220,"Ensnared (Splintered, #3)",A.G. Howard
5422154,"The Neighbor (Detective D.D. Warren, #3)",Lisa Gardner
12557,The Kitchen God's Wife,Amy Tan
5196,Tara Road,Maeve Binchy
241387,When Crickets Cry,Charles Martin
88071,The Last Colony (Old Man's War #3),John Scalzi
8135807,"Rock Me (Ross Siblings, #2)",Cherrie Lynn
38787,Pedro Páramo,"Juan Rulfo, Margaret Sayers Peden, Susan Sontag"
393060,The Post-Birthday World,Lionel Shriver
6261277,Noah's Compass,Anne Tyler
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor
18867493,Saga #1,"Brian K. Vaughan, Fiona Staples"
6871737,Turtle in Paradise,Jennifer L. Holm
21473305,"Dominic (Slater Brothers, #1)",L.A. Casey
347852,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck
107779,"The Bride (Lairds' Fiancées, #1)",Julie Garwood
3338544,رحلتي من الشك إلى الإيمان,mSTf~ mHmwd
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright
99315,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink
10962765,Nightwoods,Charles Frazier
94672,Beneath a Marble Sky,John Shors
33652490,Men Without Women,"murakami haruki, Haruki Murakami"
47989,"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett
173233,An Irish Country Doctor (Irish Country #1),Patrick Taylor
26583370,Life and Other Near-Death Experiences,Camille Pagan
525488,"Boundaries: When to Say Yes, How to Say No, to Take Control of Your Life","Henry Cloud, John Townsend"
9475,"Midnight for Charlie Bone (The Children of the Red King, #1)",Jenny Nimmo
68811,Momo,Michael Ende
53447,El túnel,Ernesto Sabato
12540,Operating Instructions: A Journal of My Son's First Year,Anne Lamott
19427193,I Too Had a Love Story,Ravinder Singh
6324914,Homer & Langley,E.L. Doctorow
125963,Thr3e,Ted Dekker
24431358,"Cold-Hearted Rake (The Ravenels, #1)",Lisa Kleypas
6668592,Rainwater,"Victor Slezak, Sandra Brown"
7672,Congo,Michael Crichton
1846,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge
153492,"The 39 Steps (Richard Hannay, #1)",John Buchan
298137,Mao's Last Dancer,Li Cunxin
6420,"Visions of Sugar Plums (Stephanie Plum, #8.5)",Janet Evanovich
213233,Better: A Surgeon's Notes on Performance,Atul Gawande
350684,"Whitney, My Love (Westmoreland, #2)",Judith McNaught
22600903,"Where I Belong (Alabama Summer, #1)",J.  Daniels
18723,Brick Lane,Monica Ali
16188,"Wideacre  (The Wideacre Trilogy, #1)",Philippa Gregory
427475,How Starbucks Saved My Life: A Son of Privilege Learns to Live Like Everyone Else,Michael Gates Gill
2063563,My Booky Wook,Russell Brand
1491906,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh
587638,Gentlemen of the Road,"Gary Gianni, Michael Chabon"
379316,The Darkest Evening of the Year,Dean Koontz
1862313,Lush Life,Richard Price
34826911,"The Gravity of Us (Elements, #4)",Brittainy C. Cherry
96702,Broken for You,Stephanie Kallos
27209239,Bloodline,Claudia Gray
34896,The Ice Dragon,"George R.R. Martin, Yvonne Gilbert"
39045,"I Don't Know How She Does It, The Life of Kate Reddy, Working Mother",Allison Pearson
363851,Jeremy Fink and the Meaning of Life,Wendy Mass
831635,"Healthy Sleep Habits, Happy Child",Marc Weissbluth
6716424,"The Double Comfort Safari Club (No. 1 Ladies Detective Agency, #11)",Alexander McCall Smith
7747422,It's a Book,Lane Smith
28020254,"Soulless (King, #4)",T.M. Frazier
29397486,Conclave,Robert   Harris
3047849,"Killer (Pretty Little Liars, #6)",Sara Shepard
9749711,Silver Sparrow,Tayari Jones
673915,Last Night at the Lobster,Stewart O'Nan
113934,The Goal: A Process of Ongoing Improvement,"Jeff Cox, Eliyahu M. Goldratt"
644655,"Raven Black (Shetland Island, #1)",Ann Cleeves
6758423,"Women, Food and God: An Unexpected Path to Almost Everything",Geneen Roth
18131119,"Locke (Corps Security, #5)",Harper Sloan
857445,Officer Buckle & Gloria,Peggy Rathmann
19747756,House,"Ted Dekker, Frank E. Peretti"
18815695,The Pecan Man,Cassie Dandridge Selleck
9590,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.
634407,"Knots and Crosses (Inspector Rebus, #1)","Ian Rankin, Mircea Pricajan"
7432,"Pardonable Lies (Maisie Dobbs, #3)",Jacqueline Winspear
4135,I Like You: Hospitality Under the Influence,Amy Sedaris
19504931,"Under Different Stars (Kricket, #1)",Amy A. Bartol
23389993,"Gus (Bright Side, #2)",Kim Holden
146064,Jesus Land: A Memoir,Julia Scheeres
26118005,My Best Friend's Exorcism,Grady Hendrix
20911450,"Seeker (Seeker, #1)",Arwen Elys Dayton
7180727,"Live to Tell (Detective D.D. Warren, #4)",Lisa Gardner
77398,Gap Creek,Robert Morgan
32254,"The Mephisto Club (Rizzoli & Isles, #6)",Tess Gerritsen
92121,Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny
5205,A Map of the World,"C.J. Critt, Jane Hamilton, Frank  Muller"
315340,The Tenderness of Wolves,Stef Penney
1838166,"The Penderwicks on Gardam Street (The Penderwicks, #2)",Jeanne Birdsall
349129,The Man Who Walked Between the Towers,Mordicai Gerstein
1306127,The Senator's Wife,Sue Miller
30342692,"A Beautiful Funeral (The Maddox Brothers, #5)",Jamie McGuire
38703,"Small Steps (Holes, #2)",Louis Sachar
236056,There's a Boy in the Girls' Bathroom,Louis Sachar
14318,"Chronicles, Vol. 1",Bob Dylan
229123,Christy,Catherine Marshall
18392495,The Boy Most Likely To,Huntley Fitzpatrick
207569,The Sign of the Beaver,Elizabeth George Speare
216408,The True Story of Hansel and Gretel,Louise Murphy
138396,"The Walking Dead, Vol. 02: Miles Behind Us","Robert Kirkman, Charlie Adlard, Cliff Rathburn"
13507011,Low Pressure,"Stephen Lang, Sandra Brown"
116236,The Education of Little Tree,Forrest Carter
33140405,"Naughty Boss (Steamy Coffee Collection, #1)",Whitney G.
6164358,"The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)","Trenton Lee Stewart, Del Roy"
207684,Jinx,Meg Cabot
9429895,My Sister Lives on the Mantelpiece,"David Tennant, Annabel Pitcher"
6404621,American on Purpose: The Improbable Adventures of an Unlikely Patriot,Craig Ferguson
24473465,"The English Spy (Gabriel Allon, #15)",Daniel Silva
5148758,The Crowning Glory of Calla Lily Ponder,Rebecca Wells
952,The Five Love Languages of Children,"D. Ross Campbell, Gary Chapman"
759175,Lottery,Patricia Wood
33095590,Fake Fiancée,Ilsa Madden-Mills
32416,"Hannibal Rising (Hannibal Lecter, #4)",Thomas Harris
2336101,Girls in Trucks,Katie Crouch
13404803,Heading Out to Wonderful,Robert Goolrick
6452538,The Big Burn: Teddy Roosevelt and the Fire that Saved America,Timothy Egan
2170979,The Third Angel,Alice Hoffman
6443834,"1Q84 BOOK 1 (1Q84, #1)","Cun Shang  Chun Shu, Haruki Murakami"
626186,Whirligig,Paul Fleischman
15850937,"Frozen (Heart of Dread, #1)","Melissa de la Cruz, Michael  Johnston"
29291,Make Way for Ducklings,Robert McCloskey
13573622,"The Last Man (Mitch Rapp, #13)",Vince Flynn
25316313,A Dark Lure,Loreth Anne White
227658,Running Out of Time,Margaret Peterson Haddix
18722887,Little Mercies,Heather Gudenkauf
117997,And Tango Makes Three,"Henry Cole, Peter Parnell, Justin Richardson"
36107506,Beautiful Mistake,Vi Keeland
337132,Flashforward,Robert J. Sawyer
592089,"The Bar Code Tattoo (Bar Code, #1)",Suzanne Weyn
413432,Red Scarf Girl,Ji-li Jiang
13623815,And When She Was Good,Laura Lippman
243601,"Imperium: A Novel of Ancient Rome (Cicero, #1)",Robert   Harris
381704,Bergdorf Blondes,Plum Sykes
151740,"The Lemon Tree: An Arab, a Jew, and the Heart of the Middle East",Sandy Tolan
7793307,"Ex-Heroes (Ex-Heroes, #1)",Peter Clines
8965,The Vampire's Assistant,Darren Shan
25101,Season of Mists (The Sandman #4),"Kelley Jones, Neil Gaiman, Todd Klein, P. Craig Russell, Malcolm Jones III, George Pratt, Mike Dringenberg, Harlan Ellison, Dick Giordano, Matt Wagner"
525995,Jumanji,Chris Van Allsburg
91981,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams
733462,An Arsonist's Guide to Writers' Homes in New England,Brock Clarke
10111087,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark    Adams
8994051,ألزهايمر,Gzy `bd lrHmn lqSyby
2501455,فوضى الحواس,"'Hlm mstGnmy, Ahlam Mosteghanemi"
781046,When It Happens,Susane Colasanti
28899,Heat,Mike Lupica
2180222,The Condition,Jennifer Haigh
4162673,The Private Patient (Adam Dalgliesh #14),P.D. James
6093438,"A Duty To The Dead (Bess Crawford, #1)",Charles Todd
6589074,Elizabeth Street,Laurie Fabiano
33232571,2016 on Goodreads,Various
2371,The Johnstown Flood,David McCullough
6055063,The Sweet Life in Paris: Delicious Adventures in the World's Most Glorious - and Perplexing - City,David Lebovitz
6811221,The Lock Artist,Steve Hamilton
7673,Eaters of the Dead,Michael Crichton
30141401,Idaho,Emily Ruskovich
73931,"Hood (King Raven, #1)",Stephen R. Lawhead
23058989,The Mistletoe Promise,Richard Paul Evans
148192,The Knitting Circle,Ann Hood
6045456,"The Secret Speech (Leo Demidov, #2)",Tom Rob Smith
165856,Lizzie Bright and the Buckminster Boy,Gary D. Schmidt
140078,"Grave Surprise (Harper Connelly, #2)",Charlaine Harris
759945,The Magic of Thinking Big,David J. Schwartz
4224060,The Element: How Finding Your Passion Changes Everything,"Lou Aronica, Ken Robinson"
6523058,The New York Regional Mormon Singles Halloween Dance: A Memoir,Elna Baker
10909804,Just My Type: A Book About Fonts,Simon Garfield
771858,Little Heathens: Hard Times and High Spirits on an Iowa Farm During the Great Depression,Mildred Armstrong Kalish
154423,Two Little Girls in Blue,Mary Higgins Clark
34451,Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman
25840037,"Up in Flames (Rosemary Beach, #13)",Abbi Glines
25307,"No god but God: The Origins, Evolution and Future of Islam",Reza Aslan
2529355,Comfort Food,Kate Jacobs
6452749,Bright-Sided: How the Relentless Promotion of Positive Thinking Has Undermined America,Barbara Ehrenreich
17567,"A Girl of the Limberlost (Limberlost, #2)",Gene Stratton-Porter
3690427,"Among the Mad (Maisie Dobbs, #6)","Jacqueline Winspear, Orlagh Cassidy"
2285777,A Summer Affair,Elin Hilderbrand
8134469,The Good Daughters,Joyce Maynard
80570,Smashed: Story of a Drunken Girlhood,Koren Zailckas
46186,Parenting With Love and Logic,"Jim Fay, Foster W. Cline"
208146,Grandfather's Journey,Allen Say
13167847,Most Talkative: Stories from the Front Lines of Pop Culture,Andy Cohen
5872,"Regeneration (Regeneration, #1)",Pat Barker
141372,"Brian's Winter (Brian's Saga, #3)",Gary Paulsen
313605,Getting to Yes: Negotiating an Agreement Without Giving In,"Roger Fisher, William Ury, Bruce Patton"
825377,The Dot,Peter H. Reynolds
29241855,"This Was a Man (The Clifton Chronicles, #7)",Jeffrey Archer
1407874,"Sang Pemimpi (Tetralogi Laskar Pelangi, #2)",Andrea Hirata
23675858,Departure,A.G. Riddle
672493,The Pursuit of God,A.W. Tozer
690926,"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer
23290347,"The Substitute (The Wedding Pact, #1)",Denise Grover Swank
188201,Comfort & Joy,Kristin Hannah
8036440,Interrupting Chicken,David Ezra Stein
8087,Deerskin,Robin McKinley
5176,While I Was Gone,Sue Miller
31106,Second Chance,Jane Green
507069,"The Star Garden (Sarah Agnes Prine, #3)",Nancy E. Turner
8680,Fierce Invalids Home from Hot Climates,Tom Robbins
1002539,"Interred with Their Bones (Kate Stanley, #1)",Jennifer Lee Carrell
10048521,The Kiss of a Stranger (The Jonquil Brothers #0),Sarah M. Eden
29758010,"Right Behind You (Quincy & Rainie, #7)",Lisa Gardner
7083584,Fragile,Lisa Unger
18136448,"Emerge (Evolve, #1)",S.E. Hall
6673171,"Brava, Valentine",Adriana Trigiani
201175,"Rapture in Death (In Death, #4)","J.D. Robb, Satu Leveelahti, Susan Ericksen"
32775291,The Thirst (Harry Hole #11),Jo Nesbo
356609,Warriors Don't Cry: A Searing Memoir of the Battle to Integrate Little Rock's Central High,Melba Pattillo Beals
25810398,The Association of Small Bombs,Karan Mahajan
803171,Skippyjon Jones,Judy Schachner
148874,"The Quilter's Apprentice (Elm Creek Quilts, #1)",Jennifer Chiaverini
13912,A Beautiful Mind,Sylvia Nasar
1048645,Private Peaceful,Michael Morpurgo
9943,The Atonement Child,Francine Rivers
7840834,Palo Alto,James Franco
31820555,"The Night Bird (Frost Easton, #1)",Brian Freeman
21823465,"Alex + Ada, Vol. 1","Jonathan Luna, Sarah Vaughn"
46544,"The Shelters of Stone (Earth's Children, #5)",Jean M. Auel
159760,Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher
736131,The Valley of Fear,"David Timson, Arthur Conan Doyle"
1013383,The Gruffalo,"Julia Donaldson, Axel Scheffler"
537094,The Overcoat,Nikolai Gogol
703353,"Dead Simple (Roy Grace, #1)",Peter James
15888,An Instance of the Fingerpost,Iain Pears
311165,Cotillion,Georgette Heyer
87632,Ultramarathon Man: Confessions of an All-Night Runner,Dean Karnazes
26158341,The Girl With No Past,Kathryn Croft
31432960,"Sisters One, Two, Three",Nancy Star
17191012,"Fallen Crest Family (Fallen Crest High, #2)",Tijan
6425725,Sense and Sensibility and Sea Monsters,"Jane Austen, Ben H. Winters"
7264206,"This Body of Death (Inspector Lynley, #16)",Elizabeth  George
84133,"Devil May Cry (Dark-Hunter, #11)",Sherrilyn Kenyon
824204,The Little Engine That Could,"George Hauman, Doris Hauman, Watty Piper"
7574245,Ru,Kim Thuy
29587,Down and Out in the Magic Kingdom,Cory Doctorow
459255,A Train to Potevka,Mike Ramsdell
5982448,"Love, Aubrey",Suzanne LaFleur
35694971,Drawn to Him: A Romance Collection,"Jade West, L.J. Shen, A. Zavarelli, Willow Winters, Isabella Starling, K.  Webster, M. Never, K.L. Kreig"
49195,My Life,Bill Clinton
7840833,The Memory Palace,Mira Bartok
68984,The Power of Your Subconscious Mind,"Ian McMahan, Joseph Murphy"
837501,The Twenty-One Balloons,William Pene du Bois
361396,The Ultimate Gift (The Ultimate Series #1),"Jim Stovall, Elise Peterson"
620580,The Magic of Ordinary Days,Ann Howard Creel
781653,Montana 1948,Larry Watson
31377297,"Golden Prey (Lucas Davenport, #27)","John Sandford, Richard Ferrone"
35604204,Drunk Dial,Penelope Ward
12542,Grace (Eventually): Thoughts on Faith,Anne Lamott
2219694,"The Journal of Curious Letters (The 13th Reality, #1)",James Dashner
27231804,"Ladies Man (Manwhore, #3)",Katy Evans
140099,"Greywalker (Greywalker, #1)",Kat Richardson
33412061,Beauty and the Beast: Lost in a Book,Jennifer Donnelly
24689357,The Girl From the Train,Irma Joubert
22300078,The Andy Cohen Diaries: A Deep Look at a Shallow Year,Andy Cohen
4102763,Paths of Glory,Jeffrey Archer
5127845,"Corduroy Mansions (Corduroy Mansions, #1)",Alexander McCall Smith
417524,Joseph Had a Little Overcoat,Simms Taback
4570667,Just One Wish,Janette Rallison
6952423,I Am Ozzy,"Chris Ayres, Ozzy Osbourne"
19349085,Les gens heureux lisent et boivent du café,Agnes Martin-Lugand
107776,"Ransom (Highlands' Lairds, #2)",Julie Garwood
32504,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",Michael Connelly
24937499,"Her Final Breath (Tracy Crosswhite, #2)",Robert Dugoni
48318,The Solitaire Mystery: A Novel About Family and Destiny,"Jostein Gaarder, Sarah Jane Hails"
481749,Jesus the Christ,James E. Talmage
16705,Summerland,Michael Chabon
110535,The Rules of Survival,Nancy Werlin
6485421,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare
294046,"The Judas Strain (Sigma Force, #4)",James Rollins
65948,From the Corner of His Eye,Dean Koontz
5640523,Seeking Persephone (The Lancaster Family #1),Sarah M. Eden
84699,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi
7519472,The Darkest Lie (Lords of the Underworld #6),Gena Showalter
119832,"Forged by Fire (Hazelwood High, #2)",Sharon M. Draper
1574310,French Milk,Lucy Knisley
353016,"Tantalize (Tantalize, #1)",Cynthia Leitich Smith
24931971,"Darken the Stars (Kricket, #3)",Amy A. Bartol
15743075,Seven Years to Sin,Sylvia Day
13593541,The Bartender's Tale,Ivan Doig
1270615,"Buffy the Vampire Slayer: The Long Way Home (Season 8, #1)","Joss Whedon, Georges Jeanty"
146198,Hannah Coulter,Wendell Berry
34914739,I Am Watching You,Teresa Driscoll
18800655,Terms of Enlistment (Frontlines #1),Marko Kloos
2120783,The Post-American World,Fareed Zakaria
1835150,Home of the Brave,Katherine Applegate
2916001,Oxygen,Carol Cassella
39028,"The Wheel of Darkness (Pendergast, #8)","Lincoln Child, Douglas Preston"
2369,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough
327847,The Joy of Cooking,"Marion Rombauer Becker, Ethan Becker, Irma S. Rombauer"
272895,"The Black Stallion (The Black Stallion, #1)","Walter Farley, Keith Ward"
261240,The Cask of Amontillado,Edgar Allan Poe
